City/Town,State,County,Latitude,Longitude,Avg Daily Irradiance,Est. Energy Production Per Day
Robins AFB,GA,Houston,32.6092,-83.5846,4.6742,1.6827
Mazon,IL,Grundy,41.2417,-88.4231,3.9776,1.4319
Mogul,NV,Washoe,39.5164,-119.923,5.2929,1.9054
Avimor,ID,Ada,43.7758,-116.2571,4.5942,1.6539
Olivet,TN,Hardin,35.2048,-88.1939,4.4302,1.5949
Ladd,IL,Bureau,41.381,-89.2147,4.0551,1.4598
Burgettstown,PA,Washington,40.3814,-80.3926,3.8614,1.3901
Plano,KY,Warren,36.8772,-86.4165,4.3173,1.5542
Duque,PR,Naguabo,18.2381,-65.7433,5.6973,2.051
Vaughn,WA,Pierce,47.355,-122.7773,3.6009,1.2963
Centreville,MI,St. Joseph,41.9213,-85.5259,3.8924,1.4013
Colfax,WI,Dunn,44.997,-91.7264,3.9511,1.4224
Westfield Center,OH,Medina,41.0282,-81.9314,3.775,1.359
G. L. García,PR,Cayey,18.1258,-66.1026,5.5331,1.9919
Kean University,NJ,Union,40.6791,-74.2314,4.0175,1.4463
Cressona,PA,Schuylkill,40.6304,-76.1939,3.9593,1.4253
Bard College,NY,Dutchess,42.0227,-73.9094,3.8074,1.3707
Lake Catherine,IL,Lake,42.487,-88.1272,3.9446,1.4201
Clarksville,IA,Butler,42.7798,-92.668,4.1215,1.4837
Bruceton,TN,Carroll,36.0349,-88.2466,4.3838,1.5782
Susan Moore,AL,Blount,34.0804,-86.4228,4.499,1.6196
Martindale,TX,Caldwell,29.8444,-97.839,4.9027,1.765
Seville,FL,Volusia,29.3364,-81.5066,4.792,1.7251
Lapwai,ID,Nez Perce,46.4034,-116.8041,4.0376,1.4535
Clear Lake,SD,Deuel,44.7644,-96.6768,4.1627,1.4986
Celoron,NY,Chautauqua,42.1052,-79.2777,3.851,1.3864
Pleasant Grove,OH,Muskingum,39.9513,-81.9592,3.9607,1.4259
Green Springs,OH,Seneca,41.2569,-83.053,3.9523,1.4228
Hebron Estates,KY,Bullitt,38.0501,-85.6682,4.1544,1.4956
Burlington,ND,Ward,48.2572,-101.4146,3.9762,1.4314
Simmesport,LA,Avoyelles,30.9806,-91.8143,4.6944,1.69
New Beaver,PA,Lawrence,40.8773,-80.3702,3.8614,1.3901
Denton,NC,Davidson,35.6378,-80.1106,4.5416,1.635
Plattsburgh West,NY,Clinton,44.6837,-73.5037,3.5756,1.2872
Newburg,WI,Washington,43.4321,-88.0477,3.9025,1.4049
Sanford,CO,Conejos,37.2574,-105.9007,5.3533,1.9272
Queen City,TX,Cass,33.1507,-94.1524,4.5578,1.6408
Winfield,TN,Scott,36.564,-84.4455,4.262,1.5343
Corcovado,PR,Hatillo,18.461,-66.7778,5.5331,1.9919
Markle,IN,Huntington,40.8285,-85.3406,4.0317,1.4514
Ardmore,AL,Limestone,34.9847,-86.8373,4.499,1.6196
St. Georges,DE,New Castle,39.5606,-75.6514,4.1793,1.5045
New Windsor,MD,Carroll,39.5443,-77.1012,4.0947,1.4741
Inkerman,PA,Luzerne,41.297,-75.8165,3.7647,1.3553
West Van Lear,KY,Johnson,37.7852,-82.7891,4.1551,1.4958
Bartolo,PR,Río Grande,18.362,-65.8414,5.6973,2.051
Rodney Village,DE,Kent,39.1283,-75.5396,4.1793,1.5045
Vanceburg,KY,Lewis,38.5944,-83.3245,4.0949,1.4742
Cashton,WI,Monroe,43.7412,-90.7866,3.9353,1.4167
Quincy,MI,Branch,41.9424,-84.8826,3.9404,1.4185
Fowler,MI,Clinton,43.0041,-84.7411,3.7847,1.3625
Wilson,WY,Teton,43.486,-110.8937,4.5279,1.63
Walnut Creek,OH,Holmes,40.5427,-81.7213,3.8937,1.4017
Brookside,NJ,Morris,40.7944,-74.5661,4.0175,1.4463
Cascade-Chipita Park,CO,El Paso,38.9433,-105.0023,5.0798,1.8287
Ellington,MO,Reynolds,37.2364,-90.9733,4.3316,1.5594
Perryville,AR,Perry,35.012,-92.803,4.4292,1.5945
Omega,GA,Tift,31.3389,-83.595,4.7844,1.7224
Beechwood Village,KY,Jefferson,38.2555,-85.6295,4.1544,1.4956
Palmdale,PA,Dauphin,40.2962,-76.6234,3.9593,1.4253
Laton,CA,Fresno,36.4314,-119.6976,5.4624,1.9665
Branchville,SC,Orangeburg,33.2517,-80.8161,4.6488,1.6736
Lake Telemark,NJ,Morris,40.961,-74.497,4.0175,1.4463
Quail Creek,TX,Victoria,28.7773,-97.0848,4.9045,1.7656
Reese,MI,Tuscola,43.4528,-83.6893,3.7992,1.3677
St. David,AZ,Cochise,31.8958,-110.2224,5.8892,2.1201
